class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep,StarGap
not,114308371,0.654435128,0.113784986,0.073520501,0.001680077,0.333333333,0,0.186215014
not,262710157,0.57641218,0.180486529,0.201117011,0.008452469,0.333333333,0,0.119513471
not,289113766,0.800286849,0,5.93e-05,0,0.333333333,0,0.3
not,396742364,0.497438217,0.168715668,0.189358416,0.007342286,0.333333333,0,0.131284332
not,350820908,0.834112974,0.122678525,0.125762018,0.003356899,0.333333333,0,0.177321475
not,349568905,0.916791703,0.121893801,0.076320001,0.001831616,0,0,0.178106199
not,220421191,0.315666372,0.776855872,0.794015416,0.609880643,0.333333333,0,0.476855872
not,350655701,0.919119594,0.119016479,0.080785254,0.001921329,0,0,0.180983521
not,201792346,0.803740071,0.039497777,0.025051859,0.00034694,0.333333333,0,0.260502223
not,279055830,0.465048544,0.816113,0.640660026,0.460751233,0.666666667,0.079707643,0.516113
not,333680372,0.470984113,0.162961025,0.243784449,0.010390148,0.333333333,0,0.137038975
not,288158059,0.361341571,0.558723516,0.429456451,0.112121788,0.666666667,0.035115922,0.258723516
not,307715447,0.472087379,0.343709129,0.430386596,0.054271018,0.333333333,0,0.043709129
not,178872239,0.526569947,0.170808266,0.22731656,0.009690321,0.333333333,0,0.129191734
toi,172464366,0.666758605,0.839916296,0.882685985,0.997622742,0.333333333,0,0.539916296
toi,150428135,0.646778464,0.177347633,0.205811663,0.009929395,0.333333333,0,0.122652367
toi,359271092,0.289159312,0.243002877,0.279595031,0.020906403,0.333333333,0,0.056997123
not,260947637,0.413636364,0.672430029,0.602220076,0.280169211,0.333333333,0,0.372430029
