class,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep,cluster
toi,9.93908,6338,1.34004,2.993163,1,0,cluster1
not,10.4964,3316,0.347011,0.013117,1,0,cluster2
not,5.8911,6042.05,1.56247,2.93125,1,0,cluster1
not,8.4818,5335.76,0.880582,0.566264,1,0,cluster4
not,10.3012,5482,0.737399,0.442441,1,0,cluster4
toi,8.7542,6352,1.41788,3.380702,2,6604.220483,cluster3
not,7.7421,5545.71,1.19258,1.21199,2,12313.89646,cluster3
not,11.1372,3300,0.367637,0.014441,1,0,cluster2
not,5.5696,6688.24,1.69396,5.17304,2,14703.55565,cluster3
not,6.3224,5033.45,0.739237,0.316028,0,0,cluster4
not,8.7801,6026.7,1.13712,1.53683,2,3031.18898,cluster3
not,7.1496,6588.79,1.46735,3.65582,0,0,cluster1
toi,10.4904,3482,0.426465,0.027616,1,0,cluster2
not,8.9006,6412,1.18686,2.14521,1,0,cluster1
not,8.9658,4984,0.793526,0.35005,2,1304.978908,cluster3
not,7.8824,8467,1.62739,12.263,2,9868.284181,cluster1
toi,7.0286,6382.67,1.76557,5.343987,0,0,cluster1
toi,10.9102,3494,0.419457,0.027086,3,3146.809342,cluster3
not,7.8784,7843,1.66371,9.43584,1,0,cluster1
not,8.3009,5665.9,1.20278,1.34321,0,0,cluster4
not,10.7901,5282,0.68791,0.331858,1,0,cluster4
not,6.6845,6689.31,1.6259,4.76878,1,0,cluster1
not,7.8365,5916,0.998908,1.10118,0,0,cluster4
not,10.7409,3832,0.598961,0.069694,1,0,cluster2
not,9.4786,5313,1.084,0.843553,0,0,cluster4
not,8.1658,5998,1.07259,1.34148,1,0,cluster1
not,7.8483,6063.08,1.39363,2.36464,1,0,cluster1
not,8.9945,5727,0.905327,0.794354,1,0,cluster4
not,10.4265,4639,0.751018,0.235339,1,0,cluster4
toi,9.6181,4969,0.732535,0.337924,1,0,cluster4
not,8.2712,5812,1.5193,2.37294,0,0,cluster4
not,11.0381,4275.5,0.644618,0.125097,1,0,cluster2
not,9.0758,6420,1.36218,2.83988,1,0,cluster1
not,9.6768,5245,0.811062,0.448523,2,17491.02192,cluster3
not,9.9548,5072,0.853256,0.434081,0,0,cluster4
not,4.2164,5711.88,0.945495,0.857293,1,0,cluster1
not,5.8399,5563.6,0.915614,0.723674,1,0,cluster1
not,11.6308,3615,0.494395,0.037608,2,11392.59538,cluster3
not,7.8134,5910,0.997711,1.09409,1,0,cluster1
toi,10.8835,3996,0.6194,0.101049,1,0,cluster2
toi,11.6049,6083.61,1.1584,1.898666,1,0,cluster4
not,9.8891,5473.81,0.927816,0.696269,1,0,cluster4
not,8.4514,6085,1.14821,1.62847,0,0,cluster4
not,6.6979,5578.13,1.20795,1.27277,1,0,cluster1
not,5.6883,6561.78,1.26873,2.68854,1,0,cluster1
not,11.6485,3371,0.327244,0.012459,1,0,cluster2
not,11.5616,4290,0.523344,0.083579,1,0,cluster2
not,8.1121,5965,1.11244,1.41152,0,0,cluster4
toi,11.3743,5977,1.12783,1.676897,1,0,cluster4
not,12.951,3032,0.216949,0.003584,0,0,cluster2
toi,10.3475,3407,0.407103,0.023067,1,0,cluster2
not,8.5349,6934,1.54059,4.94316,1,0,cluster1
not,7.95655,3847,0.635458,0.079681,1,0,cluster2
not,10.1545,5181.62,0.780769,0.395915,1,0,cluster4
not,10.5428,3812,0.574597,0.062811,1,0,cluster2
not,9.0066,6596,1.24093,2.62609,0,0,cluster4
toi,9.5275,5521,0.906761,0.789119,1,0,cluster4
not,12.9559,3028,0.195996,0.002909,2,1314.362238,cluster2
not,9.46831,3836,0.575857,0.06469,1,0,cluster2
toi,9.7825,5188,0.943786,0.66655,0,0,cluster4
not,9.1362,6232.1,1.4031,2.67554,1,0,cluster1
not,8.647,6363,1.49416,3.29711,1,0,cluster1
not,10.2985,3437,0.2982,0.01118,1,0,cluster2
not,9.74783,3286,0.364844,0.013982,1,0,cluster2
toi,11.5232,6371,1.27616,2.771575,1,0,cluster4
not,7.6606,5127.29,0.842323,0.441777,1,0,cluster4
not,13.0976,3095,0.181833,0.002733,1,0,cluster2
not,9.8742,6036,0.869955,0.905075,1,0,cluster4
toi,13.741,3212,0.512881,0.028922,1,0,cluster2
not,11.851,3340,0.398867,0.017838,1,0,cluster2
not,8.602,6636,1.3248,3.06635,1,0,cluster1
toi,10.2638,6236,1.04092,1.692564,0,0,cluster4
not,9.69307,3760,0.539608,0.052433,2,7676.17531,cluster3
not,7.7683,5265.48,0.864468,0.517541,1,0,cluster1
not,8.1705,4891,0.726632,0.272216,0,0,cluster4
not,9.8871,5992.78,1.05687,1.29792,1,0,cluster4
toi,8.1345,5302.58,0.848675,0.58819,1,0,cluster4
not,8.9447,5824.1,1.43813,2.14392,0,0,cluster4
toi,10.1508,3312,0.287497,0.010273,1,0,cluster2
not,7.6507,5111.89,0.787474,0.381499,0,0,cluster4
not,7.8209,6471,1.78911,5.05652,0,0,cluster1
toi,10.3074,5348,0.844379,0.602457,1,0,cluster4
not,8.7246,6281,1.56606,3.43895,1,0,cluster1
not,9.7592,3715,0.489984,0.0412,0,0,cluster2
not,7.8848,5645,1.09383,1.09459,2,1389.766454,cluster3
not,8.4532,6710,1.29307,3.05372,1,0,cluster1
not,9.608,5165.36,0.781756,0.391958,1,0,cluster4
toi,10.8578,5450,0.797594,0.579743,1,0,cluster4
toi,11.7952,5829.55,1.51595,2.741548,1,0,cluster4
not,8.065,4331,0.687045,0.14963,1,0,cluster4
not,7.893,5980,1.6443,3.11502,1,0,cluster1
not,10.0391,5180,0.878413,0.500508,1,0,cluster4
toi,11.4779,5380.72,0.817705,0.57895,1,0,cluster4
toi,10.9102,3494,0.419457,0.027086,1,0,cluster2
toi,9.74346,5954.5,1.19908,1.867082,1,0,cluster4
not,6.4628,6180.85,1.14148,1.71325,1,0,cluster1
not,9.78263,3519,0.488526,0.032972,2,12452.50284,cluster3
not,8.0019,5128.82,0.753882,0.3543,1,0,cluster4
not,7.2953,6118.19,1.05847,1.41432,1,0,cluster1
toi,9.597,5914,1.55953,3.073256,1,0,cluster4
not,8.7018,6394,1.42534,3.05928,1,0,cluster1
not,8.8937,4571,0.553844,0.120647,1,0,cluster4
not,9.5153,5471.89,0.861966,0.600101,1,0,cluster4
not,6.9248,5385.09,0.90973,0.627035,1,0,cluster1
toi,14.7034,3478,0.379815,0.021805,1,0,cluster2
not,8.6741,7057,1.43409,4.59545,1,0,cluster1
not,8.4787,4657.88,0.599235,0.15228,1,0,cluster4
not,6.5452,7107.09,1.49601,5.14434,3,20398.5198,cluster3
not,11.2167,3748,0.554029,0.054571,1,0,cluster2
not,9.4638,5681,1.22142,1.39998,0,0,cluster4
not,7.2384,5918.34,0.965619,1.03064,1,0,cluster1
not,8.89413,3755,0.637674,0.072834,1,0,cluster2
not,12.2423,3209,0.232489,0.005164,1,0,cluster2
toi,11.0443,4935.4,0.906655,0.503802,0,0,cluster4
