class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity
1,365690646,10.094,6923.83,1.5869,5.978203097
0,350559756,8.2027,6576,1.72292,5.00115
0,100103200,8.69367,3850,0.517124,0.0529331
1,315002523,12.4257,6143,1.91031,5.368039709
1,449050247,10.0938,6288,1.37894,3.070625356
0,452501166,7.4818,5519.1,0.915715,0.700953
0,33880047,8.6388,5823.5,1.55847,2.51667
0,314828399,8.6128,6149,1.11886,1.61238
0,149540525,8.3912,7205,1.54681,5.80906
0,291635915,6.0753,5597.6,1.02494,0.929187
1,52548453,10.1887,6296,2.16178,7.585213806
0,33880418,13.5144,3120,0.195471,0.00326195
0,382160241,9.6409,5468.5,0.919462,0.681138
1,269558487,10.6541,6671,1.22133,3.051516853
1,82362447,15.2474,3674,0.295122,0.016392521
1,172193428,10.3773,6002,1.21356,1.974205835
0,358289822,8.4962,4330,0.701752,0.15596
0,308599430,10.2017,4371,0.692808,0.15785
0,364425576,9.1364,6213,1.1215,1.68848
0,389687183,11.2031,3141,0.230441,0.00465678
0,20325431,8.34398,3544,0.454147,0.0293131
0,348899264,8.0367,6716,1.67728,5.1564
0,286763141,9.72334,3548,0.467725,0.0312328
0,314828080,7.6428,6526.08,1.2784,2.67078
1,63898957,9.03971,5890.3,1.28018,2.037875717
1,176984236,10.5683,6138,1.29372,2.453997302
1,89020549,10.8061,5304,0.940806,0.7236027
1,38846515,10.3157,6733,1.77457,6.68508123
0,262710157,10.2724,3506,0.412724,0.0231879
0,25116423,11.9298,3491,0.407734,0.0222458
1,360742636,11.2474,5693,1.03997,1.173524925
1,341729521,9.7727,5786,0.926261,0.993267978
0,214664574,4.4735,5394.16,0.963388,0.707933
1,262530780,12.9465,5177,0.990301,0.727667629
0,45464138,10.6156,3690,0.474241,0.0375663
0,287488930,9.62718,3451,0.396308,0.0200697
0,220476607,6.4049,5652,0.8645,0.687121
1,243200602,10.491,5603,1.05922,1.142196421
1,262330063,10.642,6299,1.87607,5.723615765
0,290543478,5.9121,5519.04,0.879611,0.646741
0,375034557,5.6439,5913,1.04635,1.20581
1,198008005,10.6444,5857,1.29747,2.046357494
0,273854802,8.4981,5968,0.95821,1.04938
1,460205581,9.9322,6104,1.00693,1.453927063
1,102283403,9.08959,6627,1.36534,3.71394502
0,441493794,9.24617,3666,0.482577,0.0378964
1,449050248,9.87405,6200,1.55866,3.708134674
0,278959348,9.3539,6228,1.07982,1.5805
0,92251004,8.499,5254,0.732285,0.368142
0,231925611,7.7246,5814.91,0.972165,0.973525
1,218795833,14.4347,3324,0.355309,0.015919977
1,304042899,9.5369,6760,1.5288,5.041666243
1,399870368,9.3371,8730,1.97036,23.29346518
1,140830390,11.7106,5815,2.4494,7.086050834
1,188989177,9.1414,8242,3.66787,64.12749423
1,55652896,11.5748,5025.77,0.801736,0.423603138
1,251855940,13.5134,5805,1.05486,1.30522236
1,399144800,10.6392,5448,0.989667,0.891276661
0,260159741,9.5248,5734.1,1.23082,1.47552
1,455135327,9.93908,6338,1.34004,2.993163386
