class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,PPPeriod,TransitDepth,TransitDuration,TransitEdgeTime,PlanetRadius,StarGap,StarMass
0,382551191,7.6722,5883.67,0.97528,1.02694,1,0.0175847345661394,84.1632711427175,0.991050312966096,0.00231214404904741,0.976756691539798,1883.67,1.00666800950427
0,394679808,8.9796,5143,0.891728,0.501217,2,0.0718998704144572,250.282973892263,0,0,1.54008194848255,1143,0.841407634343498
0,355653041,8.5501,5504,0.804196,0.534728,1,0.0376172719084154,33.7976825191157,0.811912938685524,0.021879354147922,0.510388808903214,1504,0.855132143534157
0,38600988,9.2089,6166,1.08982,1.54676,1,0.0154228581139461,107.456079081908,0,0,1.23329236267719,2166,1.11520763258888
0,355788712,9.1725,4140,0.66993,0.118783,1,0.017411383615544,255.65768998049,0.99826674622569,6.02744740095319e-05,1.169377222011,140,0.58706822168188
0,309702890,10.6042,3686,0.486695,0.039394,1,0.0387016200353291,524.968674454281,1.00056738381588,0.0195270024819627,1.2173609114954,314,0.445510065044208
0,201293664,6.5128,5371.04,0.829517,0.515916,1,0.0713347135152333,23.5270370993971,0.145942413154693,0.0103580518212848,0.43924283205077,1371.04,0.847509839841467
1,131419878,8.8154,6681,1.55798,4.995461358,1,0.0611558306877362,181.259149017322,0,0,2.28985308980218,2681,1.49500932300926
0,140282940,9.21395,3710,0.609173,0.0633391,1,0.0546996010812367,62.3265157010655,0.998839385456171,0.000119469250318999,0.525016368982568,290,0.501669816499315
0,52257075,8.8843,4599.5,0.70919,0.202797,1,0.0155454663673373,0,0,0,0,599.5,0.671066225560974
0,261261283,11.4446,3556,0.366166,0.0193151,1,0.0756553641792938,1214.4520614294,0.999486912821238,0.000460110893385642,1.39304125277686,444,0.340602197504701
1,165317334,10.9217,4015,0.68476,0.125864984,1,0.0175523309018128,702.153112112716,0,0,1.98084306511683,15,0.595629544067612
0,375060694,11.1727,3739,0.531782,0.0497948,1,0.0696218096306264,219.280423546088,0.999871747259992,0,0.859665181819411,261,0.472384890593963
0,140576174,7.9118,6447.7,1.25671,2.45914,1,0.056524866197446,71.9099281068395,0,0,1.16338985336307,2447.7,1.25226376302441
1,219388773,10.6793,4752.8,0.817898,0.352600083,1,0.0357027794542057,201.661096488499,0.999371917242631,0,1.26796125162088,752.8,0.770585091641951
0,300653260,7.937,9078,1.56455,14.9773,1,0.0575245445813115,29.6419445841396,0.999365149813468,2.01373984043898e-05,0.929904963828221,5078,1.96724469226416
0,340781051,7.7551,5699.73,0.949773,0.857731,1,0.0701704312965175,13.7819038428534,0.999013358173012,0.00180440419375799,0.384919754969586,1699.73,0.962360472354182
0,238950307,10.759,3312,0.209296,0.00474873,2,0.0759253165920474,295.39257190607,0.997463279955655,0.000183723900935836,0.392696008460278,688,0.18506569864224
0,7422496,8.7601,5744,0.879321,0.75831,1,0.0625181040479826,183.202927987027,0.00046507099764775,2.89621580397683e-05,1.29929995637078,1744,0.933171992608335
0,55497281,7.198,6135,1.52258,2.95879,2,1.14624261086543,35226.86530044,0.236874638343431,0.100923361377227,31.1970043657957,2135,1.31153092542908
0,306773428,7.4683,7975,1.7128,10.6913,1,0.0253661318364486,1464.34088357493,0.999833532629176,0,7.15522873661664,3975,1.80824648279195
0,38875458,10.2372,5501,0.839846,0.581917,1,0.0149351485173404,0,0,0,0,1501,0.873404170193228
0,349833420,9.1582,6363,1.12322,1.86324,1,0.0326480624420776,78.3781119024501,0.999900071768449,0,1.08557041767134,2363,1.16833449597897
